          60          60
          47          49          50          53          54          57
          58          61          62          65          66          72
          73          78          79          84          85          88
          89          91          92          95          96          99
         100         104         105         110         111         117
         118         125         126         133         134         142
         143         151         152         159         160         166
         167         173         174         179         180         185
         186         192         193         198         199         203
         204         207         208         210         211         214
         215         220         221         226         227         231
         232         235         236         238         239         240
           1           2           0           0           0           0
           0           0           0           0           3           5
           6           9          10          13          14          18
          19          22          23          26          27          29
          30          33          34          36           0           0
           0           0           0           0          37          39
           0           0           0           0          40          42
          43          45          46          49          50          53
          54          57          58          62          63          66
          67          72          73          79          80          85
          86          92          93          98          99         104
         105         107         108         111         112         116
         117         122         123         129         130         137
         138         147         148         156         157         166
         167         174         175         183         184         191
         192         197         198         204         205         212
         213         218         219         223         224         228
         229         232         233         239         240         246
