           4  -295.0000    
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       88.25000             446
   175.0000       112.7500             447
   175.0000       119.0000             448
   175.0000       136.0000             449
   175.0000       147.5000             450
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       85.25000             451
   185.0000       120.0000             452
   185.0000       143.7500             453
   185.0000       200.0000               0
   195.0000      -5.000000               0
   195.0000       83.75000             454
   195.0000       92.75000             455
   195.0000       200.0000               0
   205.0000      -5.000000               0
   205.0000       144.0000             456
   205.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         177  -235.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -295.0000      -5.000000               0
  -295.0000       61.75000             457
  -295.0000       200.0000               0
  -285.0000      -5.000000               0
  -285.0000       62.00000             458
  -285.0000       200.0000               0
  -95.00000      -5.000000               0
  -95.00000       128.2500             459
  -95.00000       200.0000               0
  -85.00000      -5.000000               0
  -85.00000       66.50000             460
  -85.00000       200.0000               0
  -75.00000      -5.000000               0
  -75.00000       62.25000             461
  -75.00000       120.7500             462
  -75.00000       200.0000               0
  -65.00000      -5.000000               0
  -65.00000       65.00000             463
  -65.00000       200.0000               0
  -55.00000      -5.000000               0
  -55.00000       61.75000             464
  -55.00000       200.0000               0
  -45.00000      -5.000000               0
  -45.00000       55.75000             465
  -45.00000       64.50000             466
  -45.00000       200.0000               0
  -35.00000      -5.000000               0
  -35.00000       64.25000             467
  -35.00000       200.0000               0
  -25.00000      -5.000000               0
  -25.00000       65.75000             468
  -25.00000       200.0000               0
  -15.00000      -5.000000               0
  -15.00000       67.25000             469
  -15.00000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       19.00000             470
  -5.000000       98.50000             471
  -5.000000       110.7500             472
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       64.00000             473
   5.000000       97.25000             474
   5.000000       106.7500             475
   5.000000       118.5000             476
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       59.00000             477
   15.00000       80.75000             478
   15.00000       88.25000             479
   15.00000       104.5000             480
   15.00000       115.7500             481
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       62.25000             482
   25.00000       77.25000             483
   25.00000       84.25000             484
   25.00000       94.00000             485
   25.00000       105.5000             486
   25.00000       118.5000             487
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       63.00000             488
   35.00000       75.50000             489
   35.00000       84.75000             490
   35.00000       100.5000             491
   35.00000       109.0000             492
   35.00000       119.5000             493
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       46.00000             494
   45.00000       73.25000             495
   45.00000       90.00000             496
   45.00000       100.5000             497
   45.00000       108.2500             498
   45.00000       116.2500             499
   45.00000       133.2500             500
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       41.75000             501
   55.00000       48.25000             502
   55.00000       80.25000             503
   55.00000       95.75000             504
   55.00000       103.2500             505
   55.00000       112.0000             506
   55.00000       126.2500             507
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       59.50000             508
   65.00000       71.50000             509
   65.00000       94.50000             510
   65.00000       104.2500             511
   65.00000       116.0000             512
   65.00000       134.7500             513
   65.00000       200.0000               0
   75.00000      -5.000000               0
   75.00000       57.25000             514
   75.00000       65.25000             515
   75.00000       74.50000             516
   75.00000       123.7500             517
   75.00000       200.0000               0
   85.00000      -5.000000               0
   85.00000       56.00000             518
   85.00000       64.25000             519
   85.00000       73.25000             520
   85.00000       84.25000             521
   85.00000       200.0000               0
   95.00000      -5.000000               0
   95.00000       51.50000             522
   95.00000       57.75000             523
   95.00000       66.00000             524
   95.00000       76.00000             525
   95.00000       111.2500             526
   95.00000       161.5000             527
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       52.00000             528
   105.0000       60.00000             529
   105.0000       79.25000             530
   105.0000       114.5000             531
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       46.25000             532
   115.0000       52.75000             533
   115.0000       66.75000             534
   115.0000       116.5000             535
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       48.00000             536
   125.0000       57.50000             537
   125.0000       65.00000             538
   125.0000       100.5000             539
   125.0000       115.5000             540
   125.0000       124.2500             541
   125.0000       200.0000               0
