2 6 2.22900 2.329
-129.975880       45.975410         4.78900                 7
1 3 1.17100 1.271
1 4 1.07100 1.171
1 5 1.21600 1.316
1 6 1.30100 1.401
1 1 1.38100 1.481
1 2 1.43600 1.536
2 2 2.48600 2.586
-130.002910       45.981900         2.81000                 6
1 3 0.92000 1.02
1 4 1.04000 1.14
1 6 1.31000 1.41
1 2 1.29000 1.39
2 4 2.07000 2.17
2 6 2.35000 2.45
-129.995590       45.970450         4.36800                 5
1 3 0.98600 1.086
1 4 1.04100 1.141
1 5 1.23100 1.331
1 2 1.22600 1.326
2 4 1.88100 1.981
-130.005720       45.983120         2.36400                 6
1 3 0.89600 0.996
1 4 1.04600 1.146
1 5 1.24600 1.346
1 1 1.31100 1.411
1 2 1.29600 1.396
2 4 2.13100 2.231
-129.994420       45.941790         0.13400                 5
1 4 0.46200 0.562
1 5 0.65200 0.752
1 6 0.52200 0.622
1 2 0.67200 0.772
1 7 0.93200 1.032
-129.995770       45.975020         2.82100                 7
1 4 0.91600 1.016
1 5 1.07600 1.176
1 6 1.15100 1.251
1 2 1.19100 1.291
2 4 1.77600 1.876
2 5 2.03600 2.136
2 2 2.20100 2.301
-130.026020       45.948240         2.23400                11
1 3 0.69800 0.798
1 4 0.87800 0.978
1 5 1.04300 1.143
1 6 1.04800 1.148
1 1 0.86300 0.963
1 2 0.64800 0.748
1 7 1.15800 1.258
2 4 1.76800 1.868
2 5 1.98300 2.083
2 6 2.05800 2.158
2 2 1.09300 1.193
-130.038990       45.955310         1.75000                 8
1 3 0.70400 0.804
1 4 1.07400 1.174
1 5 1.25400 1.354
1 6 1.24400 1.344
1 2 0.84400 0.944
2 6 2.23900 2.339
2 1 2.08900 2.189
2 2 1.35400 1.454
-130.021560       45.946770         0.74200                 9
1 3 0.44300 0.543
1 4 0.87300 0.973
1 5 0.91800 1.018
1 6 0.93300 1.033
1 1 0.73300 0.833
1 2 0.51300 0.613
2 5 1.79800 1.898
2 6 1.80300 1.903
2 2 0.90800 1.008
-129.910450       45.986570         1.01500                 4
1 3 1.80900 1.909
1 5 1.49900 1.599
1 2 2.22400 2.324
2 4 2.86900 2.969
-130.033750       45.955600         1.73300                 3
1 3 0.63900 0.739
1 4 1.02400 1.124
1 2 0.79400 0.894
-129.994480       45.951020         0.70100                 9
1 3 0.42400 0.524
1 4 0.48900 0.589
1 5 0.62900 0.729
1 6 0.64400 0.744
1 2 0.73900 0.839
2 3 1.16400 1.264
2 4 0.91900 1.019
2 5 1.24400 1.344
2 6 1.31400 1.414
-129.999820       45.977660         1.70000                 9
1 3 0.74800 0.848
1 4 0.90800 1.008
1 5 1.09300 1.193
1 6 1.13300 1.233
1 1 1.25800 1.358
1 2 1.14300 1.243
2 4 1.76800 1.868
2 5 2.09300 2.193
2 2 2.07300 2.173
-130.000400       45.972370         0.95600                 7
1 4 0.82800 0.928
1 5 0.98800 1.088
1 6 1.01800 1.118
1 2 1.09800 1.198
2 4 1.63800 1.738
2 5 1.97300 2.073
2 2 1.92800 2.028
-130.029280       45.950620         1.64300                 7
1 3 0.59500 0.695
1 4 0.94000 1.04
1 5 1.07500 1.175
1 6 1.08000 1.18
1 1 0.85000 0.95
1 2 0.67000 0.77
2 6 2.00000 2.1
-130.013470       45.944950         0.31900                 8
1 3 0.43000 0.53
1 5 0.94000 1.04
1 6 0.94000 1.04
1 1 0.53000 0.63
1 2 0.50000 0.6
2 4 1.61000 1.71
2 6 1.83000 1.93
2 2 0.94500 1.045
-129.967190       45.953280         0.33700                 6
1 4 0.40200 0.502
1 5 0.61200 0.712
1 6 0.63700 0.737
1 1 1.05200 1.152
1 2 1.15700 1.257
2 4 1.02700 1.127
-130.004760       45.972510         0.93700                 6
1 5 1.08400 1.184
1 6 1.07400 1.174
1 2 1.07400 1.174
2 4 1.72400 1.824
2 5 1.97400 2.074
2 6 2.05900 2.159
-129.998150       45.978280         1.23500                 4
1 4 0.89600 0.996
1 5 1.11600 1.216
1 2 1.22100 1.321
2 2 2.15600 2.256
-129.988590       45.963790         1.43700                 6
1 3 0.59100 0.691
1 4 0.59100 0.691
1 5 0.79600 0.896
1 6 0.76600 0.866
1 2 1.07600 1.176
2 6 1.63600 1.736
-129.966060       45.928340         2.66200                 4
1 4 0.84000 0.94
1 5 0.63500 0.735
1 2 1.03500 1.135
2 2 1.60500 1.705
-129.982130       45.940970         0.56900                 6
1 5 0.32200 0.422
1 6 0.25700 0.357
1 1 0.52700 0.627
2 4 0.88700 0.987
2 5 0.69200 0.792
2 6 0.74200 0.842
-130.024020       45.947690         0.87500                 8
1 3 0.41000 0.51
1 4 0.83000 0.93
