 AXEC3  0.948 0.33 S
 AXAS1  1.173 0.25 S
# 2015  1 27  7 14  3.133   45.93892 -130.01530  0.672  0.2  0.603  0.547  0.053  22187
 AXCC1  0.552 1.00 P
 AXEC1  0.802 0.75 P
 AXEC2  0.837 1.00 P
 AXEC3  0.707 1.00 P
 AXAS1  0.512 1.00 P
 AXAS2  0.287 1.00 P
 AXCC1  1.252 0.25 S
 AXEC1  1.382 0.25 S
 AXEC2  1.607 0.33 S
 AXEC3  1.522 0.25 S
 AXAS1  1.122 0.25 S
 AXAS2  0.302 0.28 S
# 2015  1 27  7 53 36.705   45.93730 -129.97223  1.681  0.1  0.461  0.494  0.028  22213
 AXCC1  0.845 0.50 P
 AXEC1  0.565 0.75 P
 AXEC2  0.470 1.00 P
 AXEC3  0.485 1.00 P
 AXAS1  0.700 1.00 P
 AXID1  0.505 1.00 P
 AXEC1  0.985 0.33 S
 AXEC2  0.830 0.33 S
 AXEC3  0.905 0.33 S
 AXAS1  1.355 0.25 S
 AXID1  1.035 0.25 S
# 2015  1 27  8  8 26.472   45.93264 -129.97104  1.374  0.5  0.423  0.347  0.095  22226
 AXCC1  0.973 0.75 P
 AXEC1  0.613 1.00 P
 AXEC2  0.453 1.00 P
 AXEC3  0.438 1.00 P
 AXAS1  0.643 1.00 P
 AXID1  0.448 1.00 P
 AXEC1  1.138 0.33 S
 AXEC2  0.858 0.33 S
 AXEC3  0.888 0.33 S
 AXAS1  1.328 0.33 S
 AXID1  0.758 0.25 S
# 2015  1 27 10 19 17.751   45.94205 -130.01886  1.092  0.4  0.594  0.678  0.030  22291
 AXCC1  0.519 1.00 P
 AXEC1  0.814 0.50 P
 AXEC2  0.869 0.50 P
 AXEC3  0.839 1.00 P
 AXAS1  0.599 1.00 P
 AXAS2  0.419 1.00 P
 AXID1  0.944 1.00 P
 AXEC1  1.514 0.25 S
 AXEC2  1.599 0.25 S
 AXAS1  1.319 0.25 S
 AXAS2  0.664 0.33 S
 AXID1  1.669 0.25 S
# 2015  1 27 12 53 32.779   45.94249 -130.02046  1.110  1.1  0.677  0.587  0.034  22320
 AXCC1  0.536 1.00 P
 AXEC1  0.826 1.00 P
 AXEC2  0.906 1.00 P
 AXEC3  0.866 1.00 P
 AXAS1  0.641 1.00 P
 AXAS2  0.451 1.00 P
 AXID1  0.936 1.00 P
 AXEC2  1.671 0.25 S
 AXEC3  1.716 0.33 S
 AXAS1  1.366 0.33 S
 AXAS2  0.706 0.33 S
 AXID1  1.641 0.25 S
# 2015  1 27 12 54 10.580   45.94279 -130.01971  1.017  0.6  0.589  1.704  0.036  22321
 AXCC1  0.520 1.00 P
 AXEC1  0.805 1.00 P
 AXEC2  0.885 1.00 P
 AXEC3  0.845 1.00 P
 AXAS1  0.630 1.00 P
 AXAS2  0.430 1.00 P
 AXID1  0.945 1.00 P
 AXEC2  1.640 0.25 S
 AXEC3  1.685 0.33 S
 AXAS1  1.335 0.33 S
 AXAS2  0.675 0.33 S
 AXID1  1.610 0.25 S
# 2015  1 27 19  0 15.507   45.94521 -130.01653  0.902  0.7  0.791  0.910  0.040  22419
 AXCC1  0.428 1.00 P
 AXEC1  0.778 1.00 P
 AXEC2  0.858 1.00 P
 AXEC3  0.843 1.00 P
 AXAS1  0.658 1.00 P
 AXAS2  0.453 1.00 P
 AXID1  0.973 1.00 P
 AXCC1  1.208 0.25 S
 AXEC1  1.513 0.25 S
 AXEC2  1.658 0.33 S
 AXEC3  1.668 0.33 S
 AXAS1  1.433 0.25 S
 AXAS2  0.783 0.33 S
 AXID1  1.623 0.25 S
# 2015  1 27 19 36 54.264   45.94274 -130.01765  0.702  0.3  1.559  0.947  0.051  22452
 AXCC1  0.452 1.00 P
 AXEC1  0.817 0.75 P
 AXEC2  0.852 1.00 P
 AXEC3  0.877 1.00 P
 AXAS1  0.562 0.75 P
 AXAS2  0.367 0.75 P
 AXEC1  1.462 0.25 S
 AXEC2  1.572 0.25 S
 AXEC3  1.602 0.25 S
 AXAS1  1.287 0.25 S
 AXAS2  0.572 0.32 S
# 2015  1 27 19 37  0.693   45.94391 -130.01936  1.489  0.9  0.488  0.789  0.025  22453
 AXCC1  0.542 1.00 P
 AXEC1  0.822 1.00 P
 AXEC2  0.907 1.00 P
 AXEC3  0.867 1.00 P
 AXAS1  0.647 1.00 P
 AXAS2  0.467 1.00 P
 AXID1  0.972 1.00 P
 AXEC1  1.532 0.25 S
 AXEC2  1.657 0.33 S
 AXEC3  1.672 0.25 S
 AXAS1  1.372 0.33 S
 AXID1  1.637 0.25 S
# 2015  1 27 19 38 18.085   45.95395 -129.99391  0.299  0.5  0.980  0.338  0.087  22456
 AXCC1  0.390 1.00 P
 AXEC1  0.430 1.00 P
 AXEC2  0.625 1.00 P
 AXEC3  0.670 1.00 P
 AXAS1  0.780 0.75 P
 AXAS2  0.750 1.00 P
 AXEC1  0.950 0.33 S
 AXEC2  1.270 0.33 S
 AXEC3  1.330 0.33 S
 AXAS2  1.270 0.20 S
 AXID1  1.550 0.20 S
# 2015  1 27 22  3  2.607   45.94227 -130.01904  0.917  0.9  0.867  0.779  0.035  22593
 AXCC1  0.517 1.00 P
 AXEC1  0.802 1.00 P
 AXEC2  0.877 1.00 P
 AXEC3  0.837 1.00 P
 AXAS1  0.607 1.00 P
 AXAS2  0.412 1.00 P
 AXID1  0.932 1.00 P
 AXEC2  1.632 0.25 S
 AXEC3  1.682 0.33 S
 AXAS1  1.327 0.25 S
 AXAS2  0.667 0.33 S
 AXID1  1.587 0.25 S
# 2015  1 28  0 30 46.351   45.94838 -130.02162  1.010  0.3  0.483  1.327  0.041  22638
 AXCC1  0.414 1.00 P
 AXEC1  0.819 1.00 P
 AXEC2  0.949 1.00 P
 AXEC3  0.939 1.00 P
 AXAS1  0.749 0.75 P
 AXAS2  0.504 1.00 P
 AXID1  1.009 0.75 P
 AXEC1  1.554 0.25 S
 AXEC2  1.759 0.33 S
 AXEC3  1.729 0.33 S
 AXAS1  1.479 0.25 S
 AXID1  1.694 0.25 S
# 2015  1 28  4 44 59.553   45.94367 -130.01852  1.043  0.7  0.813  1.939  0.043  22688
 AXCC1  0.477 1.00 P
 AXEC1  0.787 1.00 P
 AXEC2  0.872 1.00 P
 AXEC3  0.837 1.00 P
 AXAS1  0.627 1.00 P
 AXAS2  0.422 1.00 P
 AXID1  1.042 0.50 P
 AXEC1  1.512 0.25 S
 AXEC2  1.637 0.33 S
 AXEC3  1.672 0.25 S
 AXAS1  1.342 0.25 S
 AXAS2  0.637 0.33 S
 AXID1  1.592 0.25 S
# 2015  1 28  7 31 12.700   45.93578 -130.01851  1.526  2.0  0.567  0.618  0.033  22841
 AXCC1  0.585 0.50 P
 AXEC1  0.875 1.00 P
 AXEC2  0.910 1.00 P
 AXEC3  0.840 1.00 P
 AXAS1  0.610 1.00 P
 AXAS2  0.405 1.00 P
 AXID1  0.860 1.00 P
 AXCC1  1.450 0.25 S
 AXEC1  1.695 0.25 S
 AXEC2  1.645 0.33 S
 AXEC3  1.605 0.33 S
 AXID1  1.355 0.25 S
# 2015  1 28  7 41  7.416   45.93690 -129.97646  1.416  0.6  0.367  0.460  0.028  22849
 AXCC1  0.879 0.75 P
 AXEC1  0.519 1.00 P
 AXEC2  0.404 1.00 P
 AXEC3  0.404 1.00 P
 AXAS1  0.624 1.00 P
 AXAS2  0.774 1.00 P
 AXID1  0.499 1.00 P
 AXEC1  1.009 0.33 S
 AXEC2  0.779 0.33 S
 AXEC3  0.839 0.33 S
 AXAS1  1.289 0.25 S
 AXAS2  1.264 0.25 S
 AXID1  0.874 0.25 S
# 2015  1 28  8  0 53.858   45.93711 -129.97554  1.431  1.0  0.370  0.421  0.021  22878
 AXCC1  0.872 1.00 P
 AXEC1  0.522 1.00 P
 AXEC2  0.402 1.00 P
 AXEC3  0.402 1.00 P
 AXAS1  0.627 1.00 P
 AXAS2  0.782 1.00 P
 AXID1  0.507 1.00 P
 AXEC1  1.022 0.33 S
 AXEC2  0.797 0.33 S
 AXEC3  0.857 0.33 S
 AXAS1  1.302 0.25 S
 AXID1  0.942 0.25 S
# 2015  1 28  8 12 31.724   45.95040 -129.98091  1.379  0.3  0.482  0.598  0.024  22886
 AXCC1  0.631 1.00 P
 AXEC1  0.391 1.00 P
 AXEC2  0.526 1.00 P
 AXEC3  0.546 1.00 P
 AXAS1  0.696 1.00 P
 AXAS2  0.871 1.00 P
 AXCC1  1.336 0.25 S
 AXEC1  0.791 0.33 S
 AXEC2  1.016 0.33 S
 AXEC3  1.061 0.33 S
 AXAS1  1.441 0.25 S
 AXID1  1.326 0.25 S
# 2015  1 28  8 28 54.664   45.93876 -129.97667  1.430  0.3  0.452  0.562  0.024  22904
 AXEC1  0.506 1.00 P
 AXEC2  0.391 1.00 P
 AXEC3  0.416 1.00 P
 AXAS1  0.636 1.00 P
 AXAS2  0.771 1.00 P
 AXID1  0.526 0.50 P
 AXCC1  1.581 0.25 S
 AXEC1  0.941 0.33 S
 AXEC2  0.771 0.33 S
 AXEC3  0.856 0.33 S
 AXAS1  1.226 0.25 S
 AXID1  0.946 0.25 S
# 2015  1 28  9 46 53.946   45.95145 -130.02463  1.620  0.6  0.604  0.769  0.029  22953
 AXCC1  0.514 1.00 P
 AXEC1  0.919 1.00 P
 AXEC2  1.024 1.00 P
 AXEC3  1.024 0.75 P
 AXAS1  0.844 0.75 P
 AXAS2  0.594 0.50 P
 AXID1  1.069 1.00 P
 AXEC1  1.654 0.25 S
 AXEC2  1.894 0.25 S
 AXEC3  1.894 0.33 S
 AXAS1  1.669 0.25 S
 AXID1  1.874 0.25 S
# 2015  1 28 10 25 53.070   45.95880 -129.99373  0.760  0.3  1.055  0.537  0.026  22972
 AXCC1  0.445 1.00 P
 AXEC1  0.515 1.00 P
 AXEC2  0.735 1.00 P
 AXEC3  0.780 1.00 P
 AXAS1  0.860 0.50 P
 AXAS2  0.885 0.75 P
 AXCC1  1.120 0.25 S
 AXEC1  1.080 0.33 S
 AXEC2  1.430 0.33 S
 AXEC3  1.530 0.33 S
 AXAS2  1.410 0.25 S
# 2015  1 28 10 28 34.872   45.96035 -129.99490  1.215  0.8  0.624  1.152  0.030  22975
 AXCC1  0.463 1.00 P
 AXEC1  0.568 1.00 P
 AXEC2  0.758 1.00 P
 AXEC3  0.788 1.00 P
 AXAS1  0.853 1.00 P
 AXAS2  0.843 1.00 P
 AXID1  1.013 0.75 P
 AXCC1  1.168 0.25 S
 AXEC1  1.103 0.33 S
 AXEC2  1.458 0.33 S
 AXEC3  1.548 0.33 S
 AXAS2  1.398 0.25 S
# 2015  1 28 15  3 30.432   45.94234 -130.01872  1.019  0.2  0.690  2.047  0.036  23031
 AXCC1  0.493 1.00 P
 AXEC1  0.783 0.75 P
 AXEC2  0.928 1.00 P
 AXEC3  0.843 0.50 P
 AXAS1  0.573 0.75 P
 AXAS2  0.408 1.00 P
 AXID1  0.953 0.50 P
 AXEC1  1.473 0.25 S
 AXEC2  1.608 0.25 S
 AXEC3  1.643 0.25 S
 AXAS1  1.293 0.25 S
 AXAS2  0.648 0.33 S
 AXID1  1.588 0.25 S
# 2015  1 28 15 27  6.074   45.94003 -130.01924  1.184  1.2  0.634  0.445  0.029  23034
 AXCC1  0.576 1.00 P
 AXEC1  0.826 1.00 P
 AXEC2  0.891 1.00 P
 AXEC3  0.846 1.00 P
 AXAS1  0.611 1.00 P
 AXAS2  0.411 1.00 P
 AXID1  0.891 1.00 P
 AXCC1  1.271 0.25 S
 AXEC1  1.611 0.25 S
 AXEC2  1.666 0.33 S
 AXAS1  1.301 0.25 S
 AXAS2  0.646 0.33 S
# 2015  1 28 15 28 40.451   45.94180 -130.02222  2.053  1.3  0.456  0.750  0.039  23035
 AXCC1  0.619 1.00 P
 AXEC1  0.914 1.00 P
 AXEC2  0.994 1.00 P
 AXEC3  0.959 1.00 P
 AXAS1  0.739 1.00 P
 AXAS2  0.554 1.00 P
 AXID1  0.904 1.00 P
 AXEC1  1.634 0.33 S
 AXEC2  1.754 0.33 S
 AXEC3  1.769 0.33 S
 AXAS1  1.469 0.25 S
 AXID1  1.739 0.25 S
# 2015  1 28 18 39 50.872   45.94305 -130.01889  1.574  0.9  0.469  0.829  0.024  23157
 AXCC1  0.557 1.00 P
 AXEC1  0.827 1.00 P
 AXEC2  0.907 1.00 P
 AXEC3  0.867 1.00 P
 AXAS1  0.652 1.00 P
 AXAS2  0.467 1.00 P
 AXID1  0.932 1.00 P
 AXEC1  1.547 0.25 S
 AXEC2  1.652 0.33 S
 AXEC3  1.657 0.33 S
 AXAS1  1.367 0.25 S
 AXID1  1.617 0.25 S
# 2015  1 28 20 13 48.803   45.94668 -130.01904  1.050  0.4  0.668  1.347  0.036  23236
 AXCC1  0.447 1.00 P
 AXEC1  0.772 0.75 P
 AXEC2  0.947 0.75 P
 AXEC3  0.947 0.75 P
 AXAS2  0.507 1.00 P
 AXID1  0.997 0.50 P
 AXEC1  1.537 0.25 S
 AXEC2  1.707 0.33 S
 AXEC3  1.667 0.33 S
 AXAS1  1.442 0.33 S
 AXAS2  0.822 0.33 S
 AXID1  1.727 0.25 S
# 2015  1 28 20 21 40.270   45.94851 -130.03809  0.860  0.4  1.246  0.698  0.063  23261
 AXCC1  0.620 1.00 P
 AXEC1  1.080 0.50 P
 AXEC2  1.200 0.75 P
 AXEC3  1.115 1.00 P
 AXAS1  0.950 1.00 P
 AXAS2  0.630 1.00 P
 AXID1  1.175 1.00 P
 AXEC1  1.745 0.24 S
 AXEC2  1.980 0.25 S
 AXEC3  1.955 0.33 S
 AXAS1  1.740 0.25 S
 AXAS2  1.060 0.24 S
# 2015  1 28 21 19 40.788   45.95804 -129.99454  1.708  0.6  0.568  0.922  0.045  23336
 AXCC1  0.517 1.00 P
 AXEC1  0.562 1.00 P
 AXEC2  0.747 1.00 P
 AXEC3  0.772 1.00 P
 AXAS1  0.907 0.75 P
 AXAS2  0.742 0.75 P
 AXCC1  1.227 0.25 S
 AXEC1  1.082 0.33 S
 AXEC2  1.437 0.33 S
 AXEC3  1.467 0.33 S
 AXAS2  1.457 0.25 S
# 2015  1 28 21 48 30.140   45.94226 -130.02090  0.866  0.4  0.813  0.858  0.038  23365
 AXCC1  0.530 1.00 P
 AXEC1  0.860 0.75 P
 AXEC2  0.900 1.00 P
 AXEC3  0.955 1.00 P
 AXAS1  0.655 1.00 P
 AXAS2  0.385 1.00 P
 AXEC1  1.515 0.25 S
 AXEC2  1.670 0.25 S
 AXEC3  1.705 0.33 S
 AXAS1  1.335 0.25 S
 AXAS2  0.715 0.25 S
# 2015  1 28 23 53 10.911   45.94781 -129.98071  1.451  0.5  0.466  0.626  0.027  23485
 AXCC1  0.669 1.00 P
 AXEC1  0.394 1.00 P
 AXEC2  0.514 1.00 P
 AXEC3  0.484 1.00 P
 AXAS1  0.679 1.00 P
 AXID1  0.714 0.75 P
 AXEC1  0.799 0.33 S
 AXEC2  0.994 0.33 S
 AXEC3  1.049 0.33 S
 AXAS1  1.404 0.25 S
