   99.00000       2.000000       8.000000              10
           1           3   24.00000    
           1           4   10.10000    
           1           5   20.90000    
           1           7   29.10000    
           1           8   19.70000    
           1           9   22.40000    
           1          10   19.20000    
           1          12   13.70000    
           1          14   26.10000    
           1          15   30.60000    
           1          18   19.60000    
           1          19   16.20000    
           1          20   13.80000    
           1          21   14.90000    
           1          22   1.100000    
           1          23   6.000000    
           1          24   12.10000    
           1          29   8.700000    
           1          30   5.300000    
           2           3   45.90000    
           2           4   18.30000    
           2           7   51.60000    
           2           9   39.20000    
           2          10   33.40000    
           2          15   54.80000    
           2          20   24.30000    
           2          22   3.600000    
           2          23   11.30000    
           2          24   21.10000    
           2          29   15.80000    
           2          30   10.00000    
   99.15000       1.780000      0.1000000              27
           1           3   24.50000    
           1           4   10.60000    
           1           5   21.60000    
           1           7   29.40000    
           1           8   19.80000    
           1           9   22.90000    
           1          10   19.60000    
           1          12   14.40000    
           1          14   26.20000    
           1          15   31.20000    
           1          19   16.10000    
           1          20   14.20000    
           1          21   14.70000    
           1          22  0.7000000    
           1          23   6.600000    
           1          24   12.60000    
           1          29   8.800000    
           1          30   5.800000    
           2           5   36.10000    
           2           7   50.80000    
           2          15   55.40000    
           2          19   28.40000    
           2          22   3.100000    
           2          23   11.90000    
           2          24   21.60000    
           2          29   16.10000    
           2          30   10.40000    
   99.12000       1.750000       10.00000              13
           1           4   11.50000    
           1           5   22.60000    
           1           7   29.90000    
           1          22   1.300000    
           1          23   7.400000    
           1          29   9.700000    
           1          30   6.500000    
           2           4   19.50000    
           2           7   53.00000    
           2          22   3.800000    
           2          23   12.60000    
           2          29   16.70000    
           2          30   11.10000    
   99.10000       1.800000      0.1000000              18
           1           3   23.60000    
           1           4   9.900000    
           1           5   20.90000    
           1           7   28.60000    
           1           8   19.80000    
           1          12   13.80000    
           1          15   30.40000    
           1          23   5.800000    
